run,chip,field,date,x,y,ZPL_nm,FWHM_nm,g2_0,T3_ns
20260618-PLSPC-HT-Ch4-f5-100uW-1s-fullauto-1,4,5,20260618,8.8,-9.5,576.2020650639299,14.441746195031884,0.9480651540663104,
20260618-PLSPC-HT-Ch4-f5-100uW-1s-fullauto-2,4,5,20260618,8.2,-10.0,615.2724318689809,15.278266180983485,0.46083126444225375,37327074.25985234
20260623-PLSPC-HT-Ch4-f6-100uW-1s-fullauto-3,4,6,20260623,-0.75,2.0,588.4282096328016,6.8987813042382236,0.5960534999078859,
20260624-PLSPC-HT-Ch4-f7-100uW-1s-fullauto-1,4,7,20260624,-12.75,5.5,573.592305040742,1.1227080904390043,-65.20867296759516,2387723.3021034775
20260624-PLSPC-HT-Ch4-f7-100uW-1s-fullauto-1,4,7,20260624,-13.75,2.75,573.1269573677387,11.766120313512225,0.8652488489433426,
20260624-PLSPC-HT-Ch4-f7-100uW-1s-fullauto-1,4,7,20260624,-14.0,1.75,579.5043659408218,16.219566711134124,0.9470752823082649,
20260624-PLSPC-HT-Ch4-f7-100uW-1s-fullauto-2,4,7,20260624,-6.25,9.0,570.4403799333656,9.881831487906352,0.2809172042557462,
20260625-PLSPC-HT-Ch4-f8-100uW-1s-fullauto-1,4,8,20260625,-1.25,-3.5,575.063115970892,9.495635832842792,0.29179753398113595,967.850966187703
20260626-PLSPC-HT-Ch4-f11-100uW-1s-fullauto-1,4,11,20260626,-9.75,-4.5,565.5771188056227,19.620086635109615,0.7378904471301999,
20260629-PLSPC-HT-Ch4-f13-100uW-1s-fullauto-1,4,13,20260629,10.25,-6.75,577.2986821475588,14.699687234747257,0.9569874528146788,
20260629-PLSPC-HT-Ch4-f13-100uW-1s-fullauto-1,4,13,20260629,9.25,-8.0,583.0872250809407,9.509848802846442,-5.598023746777869e-07,126410.06400302456
20260629-PLSPC-HT-Ch4-f15-100uW-1s-fullauto-1,4,15,20260629,-0.25,-2.5,560.0000000000001,6.256493093125185,0.4486841302532959,8.841506186488798
20260629-PLSPC-HT-Ch4-f15-100uW-1s-fullauto-1,4,15,20260629,-7.5,5.75,586.4582451383488,8.344621621681386,0.7851094617099652,
20260629-PLSPC-HT-Ch4-f15-100uW-1s-fullauto-1,4,15,20260629,7.0,-8.75,570.8155959507385,8.007302526092737,0.8027760842516128,
20260714-PLSPC-HT-Ch6-f5-100uW-1s-fullauto-1,6,5,20260714,-0.75,-8.75,573.5042405463597,1.1065577266511533,0.9667015103183381,
20260714-PLSPC-HT-Ch6-f6-100uW-1s-fullauto-1,6,6,20260714,-5.5,6.0,573.7091132649668,7.451847740211241,0.3528006898597289,
20260715-PLSPC-HT-Ch6-f9-100uW-1s-fullauto-1,6,9,20260715,-0.5,3.25,566.0161249136291,9.672151595490321,0.9554944529261019,
20260715-PLSPC-HT-Ch6-f9-100uW-1s-fullauto-2,6,9,20260715,1.25,2.75,578.2077905649833,18.086312239705215,0.9493083868404738,
20260715-PLSPC-HT-Ch6-f9-100uW-1s-fullauto-2,6,9,20260715,3.0,2.25,585.0338919485091,21.8980736471404,0.9417253711823449,
20260716-PLSPC-HT-Ch6-f15-100uW-1s-fullauto-1,6,15,20260716,-10.25,-0.75,560.0000000000001,5.670524735911673,0.23494120117833595,
20260716-PLSPC-HT-Ch6-f15-100uW-1s-fullauto-1,6,15,20260716,-11.0,2.5,564.0133666547925,7.330803323393974,0.9628864349904044,
20260716-PLSPC-HT-Ch6-f15-100uW-1s-fullauto-1,6,15,20260716,-11.0,2.75,566.8033937584852,9.707766479090347,0.9688190645455008,
20260716-PLSPC-HT-Ch6-f15-100uW-1s-fullauto-1,6,15,20260716,-11.5,1.75,568.1307104510853,3.6888585654300123,0.9700018798764449,
20260716-PLSPC-HT-Ch6-f15-100uW-1s-fullauto-1,6,15,20260716,-11.5,2.0,569.8513684758035,3.667616009311866,0.9710131828358871,
20260716-PLSPC-HT-Ch6-f15-100uW-1s-fullauto-1,6,15,20260716,-8.0,0.25,560.0000000000001,4.2931401578979695,0.9300984656801505,
20260716-PLSPC-HT-Ch6-f15-100uW-1s-fullauto-1,6,15,20260716,2.75,-6.5,602.6669891215312,5.344486259112983,0.2685321104589746,1721.853488192178
20260716-PLSPC-HT-Ch6-f18-100uW-1s-fullauto-1,6,18,20260716,-1.0,-2.25,590.3826274893443,4.810399784151574,0.2870902359768881,878.4117311470138
20260716-PLSPC-HT-Ch6-f20-100uW-1s-fullauto-1,6,20,20260716,-1.0,0.75,569.3612365923154,9.358156473091249,0.902267682972202,
20260716-PLSPC-HT-Ch6-f20-100uW-1s-fullauto-1,6,20,20260716,0.25,-0.25,583.9308552361915,25.529816399769693,0.6569332709494984,
20260716-PLSPC-HT-Ch6-f20-100uW-1s-fullauto-2,6,20,20260716,2.5,4.0,572.0345321501045,6.628685815791346,0.7593576410185664,
20260716-PLSPC-HT-Ch6-f20-100uW-1s-fullauto-3,6,20,20260716,-4.5,2.25,607.1142235579176,3.2075535137762436,0.963926928880837,
20260717-PLSPC-HT-Ch6-f21-100uW-1s-fullauto-2,6,21,20260717,-8.75,10.75,591.1231073493466,13.384096085288347,0.4327404656309104,6038985.354769226
20260717-PLSPC-HT-Ch6-f22-100uW-1s-fullauto-1,6,22,20260717,2.25,5.25,623.2778564168094,11.146324326411648,0.32059119466409003,10405964.290998181
20260717-PLSPC-HT-Ch6-f22-100uW-1s-fullauto-1,6,22,20260717,2.75,4.25,560.0000000000007,13.798752236720803,0.22463968300458315,
20260720-PLSPC-HT-Ch6-f29-100uW-1s-fullauto-1,6,29,20260720,-3.0,-8.0,569.8887175546442,7.075278360505149,0.9687573202090665,
20260720-PLSPC-HT-Ch6-f29-100uW-1s-fullauto-1,6,29,20260720,-3.5,-9.5,589.4143720772272,13.582415845815154,0.9565799572626693,
