run,chip,field,date,x,y,ZPL_nm,FWHM_nm,PSB_nm,PSB_FWHM_nm,DWF,g2_0,T1_ns,T2_ns,ZPL_intensity,rate_kHz
20260618-PLSPC-HT-Ch4-f5-100uW-1s-fullauto-1,4,5,20260618,8.8,-9.5,576.2020650639299,14.441746195031884,,,,0.9987561948332498,,,6961.161372248978,444.71073172678757
20260618-PLSPC-HT-Ch4-f5-100uW-1s-fullauto-2,4,5,20260618,8.2,-10.0,615.2724318689809,15.278266180983485,,,,0.26137263304245706,3.972944094913046,97.35327416774692,29184.658084118142,12.552015918130294
20260623-PLSPC-HT-Ch4-f6-100uW-1s-fullauto-3,4,6,20260623,-0.75,2.0,588.4282096328016,6.8987813042382236,,,,0.4479570129177268,1.2746442119648616,85.5033793523513,67226.85831094158,50.25643768161992
20260624-PLSPC-HT-Ch4-f7-100uW-1s-fullauto-1,4,7,20260624,-13.75,2.75,573.1269573677387,11.766120313512225,,,,0.9942853025174042,,,3799.9487874073966,15.561981662086845
20260624-PLSPC-HT-Ch4-f7-100uW-1s-fullauto-1,4,7,20260624,-14.0,1.75,579.5043659408218,16.219566711134124,,,,0.7715641852101638,,,19275.634669951472,6.855022453692005
20260624-PLSPC-HT-Ch4-f7-100uW-1s-fullauto-2,4,7,20260624,-6.25,9.0,570.4403799333656,9.881831487906352,,,,0.2350189324146459,1.8672257011882385,89.69676487478591,17352.273178149982,4.927833636327824
20260625-PLSPC-HT-Ch4-f8-100uW-1s-fullauto-1,4,8,20260625,-1.25,-3.5,575.063115970892,9.495635832842792,,,,0.24698404392126505,1.6342375876858066,167.09650191155816,239850.4221715827,201.62681014922032
20260626-PLSPC-HT-Ch4-f11-100uW-1s-fullauto-1,4,11,20260626,-9.75,-4.5,565.5771188056227,19.620086635109615,,,,0.31642259341169865,2.027999181847569,149.87396338318393,34816.429151960954,25.95284320729685
20260629-PLSPC-HT-Ch4-f13-100uW-1s-fullauto-1,4,13,20260629,10.25,-6.75,577.2986821475588,14.699687234747257,,,,0.8829681770346773,,,43166.001779669554,14.101266755842902
20260629-PLSPC-HT-Ch4-f13-100uW-1s-fullauto-1,4,13,20260629,9.25,-8.0,583.0872250809407,9.509848802846442,627.2985649337162,27.766803257685126,0.3326467380800922,0.8028103708320782,,,6012.461066286509,1.189409369684906
20260629-PLSPC-HT-Ch4-f15-100uW-1s-fullauto-1,4,15,20260629,-0.25,-2.5,560.0000000000001,6.256493093125185,600.1758513636039,13.506035994109173,0.5923961627001478,0.21214817029915845,1.626391752628182,140.48674844494118,7058.055243831262,60.444937037115245
20260629-PLSPC-HT-Ch4-f15-100uW-1s-fullauto-1,4,15,20260629,-7.5,5.75,586.4582451383488,8.344621621681386,,,,0.32636709679455267,1.1343876151955608,135.91825380358586,10213.615638121924,8.668924265298998
20260629-PLSPC-HT-Ch4-f15-100uW-1s-fullauto-1,4,15,20260629,7.0,-8.75,570.8155959507385,8.007302526092737,,,,0.271219682842577,4.576347678386404,155.98088616756257,3256.685632438017,9.580507515704095
20260714-PLSPC-HT-Ch6-f5-100uW-1s-fullauto-1,6,5,20260714,-0.75,-8.75,573.5042405463597,1.1065577266511533,,,,0.9020985156645732,,,235.9194082792119,2.430922228500826
20260714-PLSPC-HT-Ch6-f6-100uW-1s-fullauto-1,6,6,20260714,-5.5,6.0,573.7091132649668,7.451847740211241,,,,0.2631753415936643,1.4066090230629382,157.77999106146973,450425.6368361837,324.8206717453503
20260715-PLSPC-HT-Ch6-f9-100uW-1s-fullauto-1,6,9,20260715,-0.5,3.25,566.0161249136291,9.672151595490321,,,,0.8134991966650782,,,14909.2670847189,22.253133459350142
20260715-PLSPC-HT-Ch6-f9-100uW-1s-fullauto-2,6,9,20260715,1.25,2.75,578.2077905649833,18.086312239705215,,,,0.6899900922962883,,,75480.84586310698,96.13499253945665
20260715-PLSPC-HT-Ch6-f9-100uW-1s-fullauto-2,6,9,20260715,3.0,2.25,585.0338919485091,21.8980736471404,,,,0.7741244152406563,,,50730.93720892235,17.48407129650909
20260716-PLSPC-HT-Ch6-f15-100uW-1s-fullauto-1,6,15,20260716,-10.25,-0.75,560.0000000000001,5.670524735911673,578.6524579098024,70.64460135089911,0.03685429034954402,0.16112020745443367,2.1029761960294833,388.8227875950097,4386.556821777716,6.396786546819458
20260716-PLSPC-HT-Ch6-f15-100uW-1s-fullauto-1,6,15,20260716,-11.0,2.5,564.0133666547925,7.330803323393974,577.6461242508938,64.58205571580184,0.015959393848687706,0.9771498120317192,,,31069.743316373617,99.14982289980966
20260716-PLSPC-HT-Ch6-f15-100uW-1s-fullauto-1,6,15,20260716,-11.0,2.75,566.8033937584852,9.707766479090347,577.0063961480048,70.64460134957908,0.036206655903796355,0.9474807842417726,,,91842.45909449922,186.32487251448836
20260716-PLSPC-HT-Ch6-f15-100uW-1s-fullauto-1,6,15,20260716,-11.5,1.75,568.1307104510853,3.6888585654300123,,,,0.85796671291291,,,6535.03087995569,15.95305909040298
